"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2023","70.64","68.47","70.64","68.46","5.62M","3.08%"
"10/01/2023","68.53","69.78","69.78","68.04","9.24M","-1.79%"
"09/01/2023","69.78","71.55","71.57","69.38","137.48M","-2.75%"
"08/01/2023","71.75","71.93","72.02","70.45","127.09M","-0.93%"
"07/01/2023","72.42","72.49","72.98","71.35","111.82M","-0.37%"
"06/01/2023","72.69","73.05","73.18","72.20","107.51M","-0.48%"
"05/01/2023","73.04","73.60","74.38","72.07","104.68M","-1.40%"
"04/01/2023","74.08","73.58","74.90","73.15","80.60M","0.34%"
"03/01/2023","73.83","71.68","74.42","71.17","114.70M","2.44%"
"02/01/2023","72.07","74.16","74.86","71.75","100.78M","-2.90%"
"01/01/2023","74.22","72.45","74.65","72.07","114.04M","3.31%"
"12/01/2022","71.84","72.73","74.15","71.80","160.03M","-1.26%"
"11/01/2022","72.76","70.58","72.76","69.57","146.72M","3.43%"
"10/01/2022","70.35","71.70","72.24","69.09","150.59M","-1.37%"
"09/01/2022","71.33","74.02","74.48","70.67","130.95M","-4.38%"
"08/01/2022","74.60","76.90","77.18","74.51","128.85M","-2.99%"
"07/01/2022","76.90","75.61","77.17","74.84","109.72M","2.18%"
"06/01/2022","75.26","76.56","76.64","73.20","149.48M","-1.85%"
"05/01/2022","76.68","75.82","77.22","75.14","172.46M","0.64%"
"04/01/2022","76.19","78.83","79.30","76.10","163.15M","-4.21%"
"03/01/2022","79.54","82.04","82.49","78.61","209.28M","-2.91%"
"02/01/2022","81.92","82.89","83.14","80.96","133.03M","-1.30%"
"01/01/2022","83.00","84.44","84.44","82.69","136.15M","-2.06%"
"12/01/2021","84.75","85.16","85.83","84.52","142.73M","-0.78%"
"11/01/2021","85.42","85.02","86.03","84.43","121.14M","0.05%"
"10/01/2021","85.38","85.46","85.65","84.74","119.20M","-0.08%"
"09/01/2021","85.45","86.41","86.68","85.38","109.16M","-1.17%"
"08/01/2021","86.46","86.68","87.05","85.86","103.78M","-0.35%"
"07/01/2021","86.76","85.73","87.07","85.63","133.36M","1.01%"
"06/01/2021","85.89","85.07","85.99","84.98","147.25M","0.74%"
"05/01/2021","85.26","85.12","85.60","84.66","111.94M","0.00%"
"04/01/2021","85.26","84.78","85.56","84.55","116.11M","0.64%"
"03/01/2021","84.72","85.61","85.75","84.22","131.29M","-1.42%"
"02/01/2021","85.94","87.24","87.37","84.92","102.36M","-1.70%"
"01/01/2021","87.43","88.04","88.10","86.94","114.24M","-0.86%"
"12/01/2020","88.19","88.25","88.30","87.70","106.97M","-0.34%"
"11/01/2020","88.49","87.56","88.50","87.38","92.21M","1.04%"
"10/01/2020","87.58","87.99","88.24","87.50","105.50M","-0.73%"
"09/01/2020","88.22","88.25","88.89","88.13","108.29M","-0.27%"
"08/01/2020","88.46","89.32","89.59","88.12","109.33M","-1.12%"
"07/01/2020","89.46","88.14","89.47","88.00","79.15M","1.27%"
"06/01/2020","88.34","87.59","88.36","87.03","98.98M","0.48%"
"05/01/2020","87.92","87.38","87.94","86.63","90.80M","0.47%"
"04/01/2020","87.51","86.12","87.86","85.55","93.09M","2.53%"
"03/01/2020","85.35","86.82","89.32","76.49","223.07M","-1.63%"
"02/01/2020","86.76","85.22","86.86","84.83","107.86M","1.45%"
"01/01/2020","85.52","83.98","85.57","83.86","86.60M","1.98%"
"12/01/2019","83.86","83.83","84.43","83.61","69.78M","-0.51%"
"11/01/2019","84.29","84.25","84.44","83.26","59.15M","-0.26%"
"10/01/2019","84.51","84.05","84.98","83.76","73.03M","0.09%"
"09/01/2019","84.43","84.98","85.18","83.29","58.33M","-0.79%"
"08/01/2019","85.10","82.97","85.30","82.94","76.38M","2.53%"
"07/01/2019","83.00","82.91","83.22","82.43","49.69M","-0.08%"
"06/01/2019","83.07","82.14","83.13","82.03","56.89M","1.01%"
"05/01/2019","82.24","80.78","82.24","80.53","64.39M","1.58%"
"04/01/2019","80.96","80.86","81.05","80.45","49.80M","-0.27%"
"03/01/2019","81.18","79.55","81.31","79.39","53.42M","1.70%"
"02/01/2019","79.82","79.79","80.12","79.53","46.05M","-0.34%"
"01/01/2019","80.09","79.28","80.09","79.14","61.72M","1.11%"
"12/01/2018","79.21","77.99","79.26","77.95","70.32M","1.37%"
"11/01/2018","78.14","77.65","78.17","77.46","47.15M","0.39%"
"10/01/2018","77.84","78.42","78.55","77.66","57.50M","-1.09%"
"09/01/2018","78.70","79.00","79.18","78.38","39.84M","-0.78%"
"08/01/2018","79.32","78.75","79.52","78.65","52.09M","0.43%"
"07/01/2018","78.98","79.03","79.38","78.87","42.68M","-0.27%"
"06/01/2018","79.19","79.03","79.30","78.58","50.49M","-0.28%"
"05/01/2018","79.41","78.86","79.78","78.30","40.14M","0.46%"
"04/01/2018","79.05","79.63","79.80","78.69","41.55M","-1.10%"
"03/01/2018","79.93","79.42","79.95","79.14","47.04M","0.48%"
"02/01/2018","79.55","80.37","80.43","79.23","57.92M","-1.25%"
"01/01/2018","80.56","81.45","81.50","80.43","61.11M","-1.24%"
"12/01/2017","81.57","81.50","81.85","81.17","43.54M","0.07%"
"11/01/2017","81.51","81.59","81.95","81.42","39.56M","-0.32%"
"10/01/2017","81.77","81.75","82.06","81.43","45.70M","-0.23%"
"09/01/2017","81.96","82.31","82.71","81.79","34.15M","-0.68%"
"08/01/2017","82.52","81.76","82.58","81.75","35.04M","0.65%"
"07/01/2017","81.99","81.66","82.16","81.30","33.60M","0.20%"
"06/01/2017","81.83","81.71","82.39","81.69","42.76M","-0.16%"
"05/01/2017","81.96","81.34","82.01","80.93","37.41M","0.50%"
"04/01/2017","81.55","80.97","81.97","80.91","32.90M","0.58%"
"03/01/2017","81.08","80.78","81.23","80.02","50.62M","-0.23%"
"02/01/2017","81.27","80.56","81.52","80.50","43.94M","0.41%"
"01/01/2017","80.94","80.55","81.43","80.50","47.72M","0.19%"
"12/01/2016","80.79","80.48","81.06","80.03","63.82M","-0.12%"
"11/01/2016","80.89","82.89","83.24","80.70","40.78M","-2.76%"
"10/01/2016","83.19","83.95","84.01","83.02","31.29M","-1.13%"
"09/01/2016","84.14","83.90","84.40","83.29","47.26M","-0.08%"
"08/01/2016","84.21","84.25","84.49","83.88","51.86M","-0.51%"
"07/01/2016","84.64","84.44","84.92","83.95","39.48M","0.40%"
"06/01/2016","84.30","82.74","84.41","82.60","39.94M","1.81%"
"05/01/2016","82.80","82.78","83.26","82.52","39.05M","-0.20%"
"04/01/2016","82.97","82.65","83.15","82.44","41.41M","0.20%"
"03/01/2016","82.81","82.17","82.92","81.65","40.04M","0.67%"
"02/01/2016","82.25","81.52","82.58","81.33","41.85M","0.64%"
"01/01/2016","81.73","80.79","81.80","80.70","53.25M","1.20%"
"12/01/2015","80.76","81.17","81.45","80.47","49.80M","-0.66%"
"11/01/2015","81.30","81.44","81.54","80.75","37.50M","-0.60%"
"10/01/2015","81.79","81.89","82.34","81.57","33.31M","-0.17%"
"09/01/2015","81.93","81.39","81.94","81.00","37.31M","0.60%"
"08/01/2015","81.44","81.70","82.43","81.31","44.47M","-0.45%"
"07/01/2015","81.81","80.87","81.83","80.83","40.36M","0.68%"
"06/01/2015","81.26","82.19","82.19","80.83","46.26M","-1.31%"
"05/01/2015","82.34","82.56","82.63","81.75","53.29M","-0.69%"
"04/01/2015","82.91","83.37","83.66","82.57","48.72M","-0.55%"
"03/01/2015","83.37","82.96","83.60","82.03","58.96M","0.35%"
"02/01/2015","83.08","83.95","84.18","82.44","57.85M","-1.51%"
"01/01/2015","84.35","82.43","84.35","82.42","71.13M","2.40%"
"12/01/2014","82.37","82.81","82.98","81.85","80.15M","-0.60%"
"11/01/2014","82.87","82.20","82.90","82.01","33.37M","0.62%"
"10/01/2014","82.36","81.97","84.07","81.92","71.54M","0.52%"
"09/01/2014","81.93","82.25","82.26","81.41","56.55M","-0.79%"
"08/01/2014","82.58","81.78","82.64","81.66","53.75M","0.93%"
"07/01/2014","81.82","81.92","82.29","81.50","30.00M","-0.49%"
"06/01/2014","82.22","82.06","82.24","81.60","30.02M","-0.13%"
"05/01/2014","82.33","81.50","82.60","81.47","26.08M","0.83%"
"04/01/2014","81.65","80.94","81.67","80.71","38.38M","0.57%"
"03/01/2014","81.19","81.44","81.53","80.81","43.70M","-0.38%"
"02/01/2014","81.50","81.12","81.56","80.80","43.17M","0.26%"
"01/01/2014","81.29","80.10","81.33","80.04","45.35M","1.55%"
"12/01/2013","80.05","80.66","80.74","79.90","35.34M","-1.15%"
"11/01/2013","80.98","81.16","81.19","80.43","28.52M","-0.52%"
"10/01/2013","81.40","80.65","81.59","80.47","25.31M","0.64%"
"09/01/2013","80.88","79.89","80.95","79.14","19.97M","0.90%"
"08/01/2013","80.16","80.60","81.00","79.60","20.83M","-1.06%"
"07/01/2013","81.02","80.66","81.29","79.88","31.66M","0.17%"
"06/01/2013","80.88","82.10","82.40","79.79","35.92M","-1.84%"
"05/01/2013","82.40","84.10","84.19","82.19","24.52M","-2.11%"
"04/01/2013","84.18","83.28","84.25","83.28","22.78M","0.65%"
"03/01/2013","83.64","83.62","83.67","82.90","27.32M","-0.11%"
"02/01/2013","83.73","83.44","83.80","83.05","25.42M","0.34%"
"01/01/2013","83.45","83.78","84.02","83.25","29.58M","-0.69%"
"12/01/2012","84.03","84.70","85.04","83.89","29.65M","-1.07%"
"11/01/2012","84.94","84.73","85.10","84.58","23.26M","0.06%"
"10/01/2012","84.89","84.95","85.08","84.48","24.98M","-0.31%"
"09/01/2012","85.15","84.95","85.19","84.26","26.81M","-0.04%"
"08/01/2012","85.18","85.01","85.21","84.00","27.29M","-0.06%"
"07/01/2012","85.23","84.26","85.36","84.23","22.43M","1.01%"
"06/01/2012","84.38","84.60","84.67","84.01","30.15M","-0.15%"
"05/01/2012","84.51","83.82","84.64","83.58","27.78M","0.70%"
"04/01/2012","83.92","83.05","83.94","82.65","20.89M","0.77%"
"03/01/2012","83.28","83.49","83.80","82.59","24.29M","-0.74%"
"02/01/2012","83.90","83.85","84.09","83.42","27.68M","-0.20%"
"01/01/2012","84.07","83.43","84.14","83.18","30.35M","0.63%"
"12/01/2011","83.54","83.10","84.20","82.83","30.91M","0.22%"
"11/01/2011","83.36","83.80","84.11","83.15","32.15M","-0.31%"
"10/01/2011","83.62","83.70","84.05","82.72","36.00M","-0.14%"
"09/01/2011","83.74","83.32","84.58","83.05","27.04M","0.41%"
"08/01/2011","83.40","82.05","84.25","82.02","39.03M","1.39%"
"07/01/2011","82.26","81.04","82.29","80.88","18.74M","1.36%"
"06/01/2011","81.16","81.63","82.14","81.01","22.21M","-0.65%"
"05/01/2011","81.69","80.86","81.75","80.69","16.68M","0.90%"
"04/01/2011","80.96","79.69","80.99","79.54","13.85M","1.17%"
"03/01/2011","80.02","79.92","81.16","79.58","16.17M","-0.41%"
"02/01/2011","80.35","79.99","80.35","79.02","17.41M","0.01%"
"01/01/2011","80.34","80.03","80.54","79.68","17.79M","0.09%"
"12/01/2010","80.27","81.36","81.52","79.52","18.66M","-2.00%"
"11/01/2010","81.91","82.64","83.00","81.26","16.33M","-0.96%"
"10/01/2010","82.70","82.39","83.06","82.22","15.74M","0.05%"
"09/01/2010","82.66","82.58","82.83","81.72","12.82M","-0.28%"
"08/01/2010","82.89","81.61","82.98","81.51","19.12M","1.27%"
"07/01/2010","81.85","81.26","81.96","80.92","18.79M","0.58%"
"06/01/2010","81.38","80.25","81.45","80.00","19.43M","1.14%"
"05/01/2010","80.46","79.45","81.34","78.87","15.64M","0.83%"
"04/01/2010","79.80","78.98","79.85","78.40","11.84M","0.76%"
"03/01/2010","79.20","79.53","79.70","78.84","14.32M","-0.52%"
"02/01/2010","79.61","79.40","79.72","78.88","11.34M","0.01%"
"01/01/2010","79.60","78.60","79.66","78.54","14.95M","1.29%"
"12/01/2009","78.59","80.06","80.10","78.33","13.83M","-2.07%"
"11/01/2009","80.25","79.29","80.33","78.85","10.01M","0.98%"
"10/01/2009","79.47","79.40","79.81","78.81","16.68M","-0.04%"
"09/01/2009","79.50","78.66","79.55","78.51","11.06M","0.67%"
"08/01/2009","78.97","78.14","78.98","77.09","11.25M","0.68%"
"07/01/2009","78.44","77.22","78.48","77.14","10.96M","0.97%"
"06/01/2009","77.69","77.13","77.84","75.96","9.01M","0.27%"
"05/01/2009","77.48","76.78","77.88","76.53","8.47M","0.32%"
"04/01/2009","77.23","77.08","77.45","76.46","8.97M","0.10%"
"03/01/2009","77.15","76.29","78.00","75.72","11.49M","0.73%"
"02/01/2009","76.59","77.06","77.69","76.20","7.35M","-0.96%"
"01/01/2009","77.33","78.42","79.16","77.01","6.85M","-2.08%"
"12/01/2008","78.97","75.72","79.22","75.30","6.22M","4.33%"
"11/01/2008","75.69","73.16","75.94","73.00","5.41M","3.50%"
"10/01/2008","73.13","75.26","76.74","67.00","7.51M","-3.29%"
"09/01/2008","75.62","76.34","78.05","75.38","7.66M","-0.89%"
"08/01/2008","76.30","76.12","76.81","75.00","4.31M","0.43%"
"07/01/2008","75.97","75.84","76.64","75.03","4.08M","-0.37%"
"06/01/2008","76.25","76.02","76.89","75.02","3.18M","-0.33%"
"05/01/2008","76.50","77.37","77.65","76.16","4.61M","-1.38%"
"04/01/2008","77.57","77.76","78.24","76.45","5.61M","-0.73%"
"03/01/2008","78.14","77.60","79.83","76.50","2.60M","0.03%"
"02/01/2008","78.12","78.44","78.50","76.39","3.62M","-0.29%"
"01/01/2008","78.35","78.26","79.35","76.91","6.14M","1.25%"
"12/01/2007","77.38","77.25","77.43","76.00","5.55M","0.10%"
"11/01/2007","77.30","75.94","77.54","71.36","2.25M","1.58%"
"10/01/2007","76.10","75.28","76.61","75.21","3.16M","0.54%"
"09/01/2007","75.69","75.29","76.14","75.05","1.66M","0.21%"
"08/01/2007","75.53","74.46","78.48","74.23","1.43M","1.07%"
"07/01/2007","74.73","74.10","74.74","73.59","972.60K","0.61%"
"06/01/2007","74.28","74.43","74.43","73.34","2.49M","-0.66%"
"05/01/2007","74.77","75.37","75.52","74.67","1.02M","-0.95%"